,Unnamed: 0.1,Unnamed: 0,Unnamed: 6,Star_name,Distance,Mass,Radius,Gravity
0,0,0,0,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.1017353699999999,1214.2000569364636
1,1,1,1,2MASS J00040288-6410358,192.0,0.018137172,0.1675036899999999,177.2955327030963
2,2,2,2,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,1648.5172507306947
3,3,3,3,2MASS J00274197+0503417,236.0,0.029592228,0.1479787199999999,370.6432628229714
4,4,4,4,2MASSW J0030300-145033,87.2,0.051547752,0.1007077399999999,1393.9943359838155
5,5,5,5,2MASS J00332386-1521309 [de],131.0,0.027683052,0.1469510899999999,351.5971318717642
6,6,6,6,2MASS J00345157+0523050,31.0,0.040092696,0.0965972199999999,1178.4549471797186
7,7,7,7,2MASS 0036+1821,28.6,0.040092696,0.0965972199999999,1178.4549471797186
8,8,8,8,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.2787267524544
9,9,9,9,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.1335918999999999,176.0410467164833
10,10,10,10,2MASS J00501994-3322402 [de],34.0,0.03818352,0.0965972199999999,1122.3380449330652
11,11,11,11,2MASS J00584253-0651239 [de],96.0,0.027683052,0.1469510899999999,351.5971318717642
12,12,12,12,2MASSI J0103320+193536,70.0,0.049638576,0.1007077399999999,1342.364916132563
13,13,13,13,SDSSp J010752.33+004156.1 [de],51.0,0.049638576,0.1007077399999999,1342.364916132563
14,14,14,14,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606,188.93802326300383
15,15,15,15,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843,191.292368446984
16,16,16,16,SDSS J015141.69+124429.6,70.0,0.044865636,0.0996801099999999,1238.4366334263539
17,17,17,17,SDSS J020742.48+000056.2 [de],111.0,0.044865636,0.0996801099999999,1238.4366334263539
18,18,18,18,2MASS J02103857-3015313,101.0,0.01431882,0.15722739,158.86484308965376
19,19,19,19,2MASS J02340093-6442068,155.0,0.01909176,0.16647606,188.93802326300383
20,20,20,20,2MASS J02411151-0326587 [de],152.0,0.025773876,0.1448958299999999,336.70141347991955
21,21,21,21,2MASS J02431371−2453298,35.0,0.031501404,0.1017353699999999,834.7625391438187
22,22,22,22,LP 771-21,53.0,0.074457864,0.11098404,1657.9311541328584
23,23,23,23,Teegarden's star,12.578,0.07636704,0.1305090099999999,1229.7078510792437
24,24,24,24,2MASS J02535980+3206373,184.0,0.06204822,0.1952496999999999,446.40140770557906
25,25,25,25,WISE J0254+0223,24.0,0.06204822,0.1952496999999999,446.40140770557906
26,26,26,26,DEN 0255-4700,16.2,0.07636704,0.0996801099999999,2107.977248385283
27,27,27,27,2MASS J03185403-3421292 [de],45.0,0.046774812,0.0996801099999999,1291.136064635986
28,28,28,28,2MASS J03205965+1854233,47.0,0.084003744,0.1181774499999999,1649.7053854867931
29,29,29,29,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,206.93362261908166
